,DATE,High,Low,Open,Close,Volume,Adj Close
318,1995-04-05,50.609375,50.421875,50.453125,50.5625,107200.0,30.850183486938477
319,1995-04-06,50.796875,50.59375,50.6875,50.75,352500.0,30.964590072631836
320,1995-04-07,50.859375,50.46875,50.859375,50.703125,361400.0,30.935991287231445
321,1995-04-10,50.796875,50.59375,50.625,50.796875,285400.0,30.993175506591797
322,1995-04-11,50.9375,50.59375,50.921875,50.625,250300.0,30.888307571411133
323,1995-04-12,50.796875,50.609375,50.703125,50.796875,150900.0,30.993175506591797
324,1995-04-13,51.09375,50.859375,50.890625,51.078125,243400.0,31.164785385131836
325,1995-04-17,51.3125,50.625,51.265625,50.78125,178900.0,30.98366355895996
326,1995-04-18,50.828125,50.484375,50.828125,50.609375,329500.0,30.87879753112793
327,1995-04-19,50.71875,50.296875,50.609375,50.5625,223000.0,30.850183486938477
328,1995-04-20,50.78125,50.4375,50.703125,50.640625,207900.0,30.897857666015625
329,1995-04-21,50.90625,50.65625,50.65625,50.890625,145000.0,31.050390243530273
330,1995-04-24,51.484375,50.859375,50.859375,51.484375,169000.0,31.412660598754883
331,1995-04-25,51.484375,51.3125,51.40625,51.34375,293200.0,31.32685661315918
332,1995-04-26,51.421875,51.125,51.25,51.390625,204400.0,31.355459213256836
333,1995-04-27,51.546875,51.28125,51.3125,51.515625,502200.0,31.431739807128906
334,1995-04-28,51.671875,51.171875,51.5,51.59375,130800.0,31.47939682006836
